PartcipantID:dfsd]
InitialTimeStamp:14-56-56-834
1:ItemsNoQuestion;11:ItemsWithQuestion;2:AnswerScreen;21:ParticipantsAnswer;3:InterTrialScreen;4:InterBlockScreen;5:EndScreen;6:WaitForTriggerScreen
block;trial;eventType;elapsedTime
1;0;6;30
1;0;1;3027
1;1;11;6161
1;1;2;31207
1;1;3;31321
1;1;1;41422
1;2;11;44603
1;2;2;69648
1;2;3;69761
